STEP,LAPV,TENG,LAPM,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
5,214.25529,9828.45531,3.93059,479.32569,117.00101,-2,0.4469931290350826,down,/home/pi/arducam/album/IMG_1586288648.png,small
6,117.00101,7832.3189,2.95129,214.25529,85.0823,-3,0.5460822460906333,down,/home/pi/arducam/album/IMG_1586288649.png,big
7,85.0823,6667.40754,2.49852,117.00101,66.21248,-4,0.7271928678222522,down,/home/pi/arducam/album/IMG_1586288651.png,big
8,66.21248,5790.20347,2.27436,85.0823,58.78013,-5,0.7782168559148025,down,/home/pi/arducam/album/IMG_1586288653.png,big
9,58.78013,5388.89442,2.14304,66.21248,58.47544,-6,0.8877500132905458,down,/home/pi/arducam/album/IMG_1586288655.png,big
10,58.47544,5362.21392,2.15965,58.78013,58.47544,-7,0.9948164456254179,down,/home/pi/arducam/album/IMG_1586288657.png,big
1,1151.13767,22766.51277,7.20576,1151.13767,1137.85274,3,0,up,/home/pi/arducam/album/IMG_1586421207.png,big
2,1137.85274,22554.98506,7.20521,1151.13767,1133.04113,2,0.9884593039162727,down,/home/pi/arducam/album/IMG_1586421208.png,small
3,1133.04113,22545.5892,7.20568,1137.85274,1276.06824,1,0.9957713245037315,down,/home/pi/arducam/album/IMG_1586421210.png,small
4,1276.06824,23073.84249,7.42088,1133.04113,876.82748,0,1.1262329373691844,up,/home/pi/arducam/album/IMG_1586421212.png,small
5,876.82748,21966.79314,5.87911,1276.06824,354.34832,-1,0.6871321239058501,down,/home/pi/arducam/album/IMG_1586421214.png,small
6,354.34832,17321.43347,3.89311,876.82748,193.35213,-2,0.40412547289234135,down,/home/pi/arducam/album/IMG_1586421216.png,small
7,193.35213,13488.28767,2.83136,354.34832,157.91134,-3,0.545655557221211,down,/home/pi/arducam/album/IMG_1586421218.png,big
8,157.91134,10970.32517,2.30273,193.35213,119.14645,-4,0.8167033898204277,down,/home/pi/arducam/album/IMG_1586421219.png,big
9,119.14645,9158.37108,1.94245,157.91134,102.14029,-5,0.7545148435824812,down,/home/pi/arducam/album/IMG_1586421221.png,big
10,102.14029,8440.80837,1.78078,119.14645,102.14029,-6,0.8572667502892448,down,/home/pi/arducam/album/IMG_1586421223.png,big
1,854.00883,16940.81257,6.48523,854.00883,835.3367,3,0,up,/home/pi/arducam/album/IMG_1586421432.png,big
2,835.3367,16829.95165,6.38534,854.00883,836.52406,2,0.9781359052224319,down,/home/pi/arducam/album/IMG_1586421434.png,small
3,836.52406,16892.80434,6.37471,835.3367,881.89053,1,1.0014214148618157,up,/home/pi/arducam/album/IMG_1586421436.png,small
4,881.89053,16989.27708,6.3512,836.52406,609.5244,0,1.0542321161689001,up,/home/pi/arducam/album/IMG_1586421438.png,small
5,609.5244,15459.04867,4.55637,881.89053,223.88264,-1,0.6911565316389099,down,/home/pi/arducam/album/IMG_1586421440.png,small
6,223.88264,12232.19205,2.84539,609.5244,100.61864,-2,0.3673071004212465,down,/home/pi/arducam/album/IMG_1586421441.png,small
7,100.61864,9690.19359,1.92299,223.88264,59.84167,-3,0.44942582417287913,down,/home/pi/arducam/album/IMG_1586421443.png,big
8,59.84167,8124.82917,1.53132,100.61864,43.24216,-4,0.5947374164468929,down,/home/pi/arducam/album/IMG_1586421445.png,big
9,43.24216,7226.09561,1.32724,59.84167,35.63501,-5,0.7226095127358577,down,/home/pi/arducam/album/IMG_1586421447.png,big
10,35.63501,6666.29023,1.24735,43.24216,35.63501,-6,0.824080249460249,down,/home/pi/arducam/album/IMG_1586421449.png,big
1,686.86171,16223.09005,4.86189,686.86171,687.89958,3,0,up,/home/pi/arducam/album/IMG_1586422335.png,big
2,687.89958,16234.96586,4.86255,686.86171,688.49911,2,1.0015110319659541,up,/home/pi/arducam/album/IMG_1586422337.png,small
3,688.49911,16240.36405,4.86407,687.89958,749.86574,1,1.0008715370926669,up,/home/pi/arducam/album/IMG_1586422339.png,small
4,749.86574,16578.94952,4.84806,688.49911,711.6414,0,1.0891310229870885,up,/home/pi/arducam/album/IMG_1586422341.png,small
