STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
2,2798.17405,58807.46216,17.24365,0.52987,2820.85814,2778.96201,3,0.9919584435394544,down,/home/pi/arducam/album-V2/IMG_1593336113.png,big
3,2778.96201,58628.60437,17.23987,0.52381,2798.17405,2928.70529,2,0.9931340797045846,down,/home/pi/arducam/album-V2/IMG_1593336115.png,small
4,2928.70529,59110.39355,17.03845,0.58341,2778.96201,3052.17318,1,1.053884608519711,up,/home/pi/arducam/album-V2/IMG_1593336117.png,small
5,3052.17318,58181.69055,16.90747,0.60431,2928.70529,1501.42166,0,1.0421578403336036,up,/home/pi/arducam/album-V2/IMG_1593336120.png,small
6,1501.42166,49970.2301,13.73132,0.34726,3052.17318,698.75112,-1,0.4919188956375012,down,/home/pi/arducam/album-V2/IMG_1593336122.png,small
7,698.75112,39599.31885,9.21399,0.11285,1501.42166,482.95099,-2,0.4653929929317791,down,/home/pi/arducam/album-V2/IMG_1593336125.png,small
8,482.95099,32902.65002,7.46155,0.05531,698.75112,321.65901,-3,0.691163099674173,down,/home/pi/arducam/album-V2/IMG_1593336127.png,big
9,321.65901,27064.81238,6.15149,0.04313,482.95099,264.07764,-4,0.6660282651040844,down,/home/pi/arducam/album-V2/IMG_1593336129.png,big
10,264.07764,25620.82715,5.76941,0.04434,321.65901,264.07764,-5,0.8209862985028772,down,/home/pi/arducam/album-V2/IMG_1593336132.png,big
1,2347.22971,46962.80127,15.60425,0.65222,2347.22971,2329.39438,4,0,up,/home/pi/arducam/album-V2/IMG_1593336267.png,big
2,2329.39438,46751.26111,15.58777,0.65358,2347.22971,2474.75323,3,0.9924015404525534,down,/home/pi/arducam/album-V2/IMG_1593336270.png,big
3,2474.75323,50358.89697,15.94397,0.6499,2329.39438,2472.16906,2,1.0624019922294134,up,/home/pi/arducam/album-V2/IMG_1593336272.png,small
4,2472.16906,49677.30786,15.45667,0.68177,2474.75323,2546.04615,1,0.9989557867957608,down,/home/pi/arducam/album-V2/IMG_1593336274.png,small
5,2546.04615,49142.71118,15.53906,0.66798,2472.16906,1305.28657,0,1.0298835104748054,up,/home/pi/arducam/album-V2/IMG_1593336277.png,small
6,1305.28657,42964.70911,12.04846,0.43603,2546.04615,626.76759,-1,0.512671999287994,down,/home/pi/arducam/album-V2/IMG_1593336279.png,small
7,626.76759,34007.52466,8.24182,0.17089,1305.28657,433.80228,-2,0.4801762344034537,down,/home/pi/arducam/album-V2/IMG_1593336281.png,small
8,433.80228,28891.81873,6.67896,0.05469,626.76759,299.52726,-3,0.6921262153966831,down,/home/pi/arducam/album-V2/IMG_1593336284.png,big
9,299.52726,25373.47168,5.76831,0.04746,433.80228,236.9987,-4,0.6904695383343767,down,/home/pi/arducam/album-V2/IMG_1593336286.png,big
10,236.9987,22746.08008,5.37585,0.04492,299.52726,236.9987,-5,0.7912425066085805,down,/home/pi/arducam/album-V2/IMG_1593336288.png,big
1,7382.81877,103602.12866,37.03748,0.77023,7382.81877,7412.46364,4,0,up,/home/pi/arducam/album-V2/IMG_1593336724.png,big
2,7412.46364,104068.61218,36.95996,0.78197,7382.81877,7382.56034,3,1.0040153863887953,up,/home/pi/arducam/album-V2/IMG_1593336726.png,big
3,7382.56034,103889.08606,36.92236,0.78798,7412.46364,7864.64723,2,0.9959658082046254,down,/home/pi/arducam/album-V2/IMG_1593336728.png,small
4,7864.64723,106860.05823,37.39246,0.78404,7382.56034,8030.19664,1,1.065300772062501,up,/home/pi/arducam/album-V2/IMG_1593336731.png,small
5,8030.19664,111312.38501,38.07227,0.7808,7864.64723,5221.09326,0,1.021049820183734,up,/home/pi/arducam/album-V2/IMG_1593336733.png,small
6,5221.09326,95480.00244,32.15234,0.76789,8030.19664,2757.55731,-1,0.65018249167059,down,/home/pi/arducam/album-V2/IMG_1593336735.png,small
